App_ID,Category_ID
222480,24
222480,12
222480,10
222480,9
222480,7
222500,21
222500,12
222500,4
222500,1
222520,33
222520,25
222520,24
222640,32
222640,12
222640,10
222640,9
222640,7
222660,32
222660,31
222660,12
222660,10
222660,9
222660,8
222660,7
222730,32
222730,12
222730,10
222730,7
222750,35
222750,33
222750,32
222750,24
222750,23
222750,22
222750,20
222750,12
222750,9
222750,7
222880,35
222880,33
222880,32
222880,31
222880,28
222880,24
222880,10
222880,7
222880,5
222940,32
222940,31
222940,24
222940,20
222940,16
222940,13
222940,12
222940,10
222940,9
222940,8
222940,7
223100,36
223100,35
223100,32
223100,31
223100,24
223100,17
223100,12
223100,11
223100,10
223100,7
223410,25
223410,24
223410,10
223410,7
223450,32
223450,31
223450,12
223490,32
223490,24
223490,12
223710,35
223710,24
223710,12
223710,9
223750,36
223750,35
223750,28
223750,27
223750,26
223750,24
223750,23
223750,22
223750,21
223750,20
223750,12
223750,4
223750,2
223750,1
223810,32
223810,21
223810,12
223810,10
223810,9
223810,8
223810,7
223830,32
223830,12
223830,7
223870,32
223870,21
223870,12
223870,10
223870,9
223870,8
223870,7
224000,12
224000,10
224040,36
224040,32
224040,31
224040,17
224040,12
224040,10
224040,9
224040,8
224260,36
224260,35
224260,33
224260,28
224260,24
224260,21
224260,10
224260,9
224260,5
224260,2
224460,32
224460,31
224460,17
224460,12
224460,10
224460,9
224460,7
224480,32
224480,31
224480,28
224480,24
224480,19
224480,18
224480,17
224480,16
224480,15
224480,12
224480,10
224480,9
224480,7
224480,5
224500,32
224500,12
224500,7
224500,5
224740,32
224740,12
224740,10
224740,7
224760,32
224760,31
224760,12
224760,10
224760,9
224760,8
224820,32
224820,31
224820,28
224820,12
224820,10
224820,8
224820,7
224820,5
224860,32
224860,31
224860,12
224860,10
224860,9
224860,7
225080,32
225080,31
225080,12
225160,32
225160,31
225160,28
225160,12
225160,10
225160,9
225160,7
225260,32
225260,31
225260,24
225260,22
225260,20
225260,19
225260,18
225260,17
225260,12
225260,10
225260,9
225260,7
225280,35
225280,32
225280,31
225280,24
225280,17
225280,12
225280,10
225280,9
225280,8
225280,7
225360,32
225360,21
225360,12
225360,10
225360,9
225360,7
225420,35
225420,33
225420,32
225420,24
225420,12
225420,10
225420,7
225420,5
225540,32
225540,31
225540,19
225540,18
225540,17
225540,12
225540,10
225540,7
225600,33
225600,29
225600,28
225600,24
225600,22
225600,21
225600,20
225600,16
225600,13
225600,11
225600,10
225600,9
225600,7
225600,5
225840,35
225840,27
225840,24
225840,23
225840,21
225840,12
225840,9
226100,35
226100,32
226100,31
226100,24
226100,23
226100,17
226100,16
226100,15
226100,14
226100,12
226100,10
226100,9
226100,8
226100,7
226120,32
226120,12
226280,34
226280,32
226280,12
226280,10
226280,9
226280,7
226560,32
226560,31
226560,17
226560,12
226560,10
226560,7
226620,32
226620,12
226620,10
226620,7
226720,36
226720,32
226720,31
226720,24
226720,17
226720,12
226720,9
226720,7
226740,36
226740,32
226740,31
226740,12
226740,10
226740,7
226780,32
